SubjectID,ConditionCode,Format,Complexity,N1,N2,CorrectAnswer,UserAnswer,Accuracy,RT_ms,WasEdited
Sub_4834,1,digit,no,22,34,56,56,1,6848,0
Sub_4834,3,word,no,42,14,56,66,0,7730,0
Sub_4834,3,word,no,62,32,94,94,1,4517,0
Sub_4834,4,word,yes,25,28,53,53,1,3524,0
Sub_4834,3,word,no,51,11,62,62,1,2580,0
Sub_4834,4,word,yes,28,34,62,62,1,12366,0
Sub_4834,1,digit,no,62,23,85,85,1,8947,0
Sub_4834,4,word,yes,57,37,94,94,1,7213,0
Sub_4834,3,word,no,33,34,67,67,1,4785,0
Sub_4834,2,digit,yes,28,39,67,67,1,5930,0
Sub_4834,3,word,no,41,12,53,53,1,4695,0
Sub_4834,1,digit,no,52,24,76,76,1,3531,0
Sub_4834,2,digit,yes,49,39,88,88,1,3384,0
Sub_4834,2,digit,yes,48,46,94,94,1,4613,0
Sub_4834,3,word,no,62,14,76,76,1,6827,0
Sub_4834,4,word,yes,59,29,88,88,1,4087,0
Sub_4834,2,digit,yes,26,27,53,53,1,3712,0
Sub_4834,1,digit,no,72,22,94,94,1,3895,0
Sub_5823,1,digit,no,51,32,83,83,1,4221,0
Sub_5823,4,word,yes,59,29,88,80,0,4378,0
Sub_5823,4,word,yes,28,34,62,64,0,11821,0
Sub_5823,3,word,no,41,12,53,53,1,5745,0
Sub_5823,1,digit,no,32,42,74,74,1,4184,0
Sub_5823,2,digit,yes,27,35,62,62,1,4046,0
Sub_5823,1,digit,no,22,34,56,56,1,3263,0
Sub_5823,1,digit,no,21,32,53,53,1,3132,0
Sub_5823,4,word,yes,57,37,94,94,1,7734,0
Sub_5823,2,digit,yes,59,26,85,85,1,4848,0
Sub_5823,1,digit,no,62,23,85,85,1,3316,0
Sub_5823,2,digit,yes,49,39,88,88,1,3871,1
Sub_5823,2,digit,yes,36,38,74,74,1,2622,0
Sub_5823,2,digit,yes,27,29,56,56,1,8189,0
Sub_5823,3,word,no,52,33,85,85,1,8730,1
Sub_5823,3,word,no,62,32,94,94,1,6593,0
Sub_5823,2,digit,yes,39,37,76,76,1,5785,0
Sub_5823,4,word,yes,29,38,67,67,1,15620,0
Sub_5823,4,word,yes,25,28,53,53,1,5780,0
Sub_5823,3,word,no,42,14,56,56,1,13127,0
Sub_5823,2,digit,yes,48,46,94,94,1,2914,0
Sub_5823,3,word,no,51,11,62,62,1,5186,0
Sub_5823,4,word,yes,46,37,83,83,1,7895,1
Sub_5823,1,digit,no,72,22,94,94,1,2328,0
Sub_5823,4,word,yes,48,37,85,85,1,12051,1
